user_id,session_id,age,device,pages_visited,session_duration,clicks,previous_visits,current_page,risk_score,dropped_off
1,S00001,56,Desktop,7,126,8,4,Purchase,0.05,0
2,S00002,38,Desktop,2,41,29,8,Sign Up,0.1422548034868772,0
3,S00003,59,Mobile,4,802,15,2,Product,0.09806088877305408,0
4,S00004,35,Tablet,4,33,18,9,Product,0.12664694856969255,0
5,S00005,24,Desktop,7,54,14,0,Checkout,0.15097732639963282,1
6,S00006,40,Mobile,6,315,21,1,Add to Cart,0.056459462495197676,0
7,S00007,18,Mobile,1,363,1,7,Home,0.32802996179967614,0
8,S00008,22,Tablet,2,60,28,6,Sign Up,0.20550240952929588,0
9,S00009,50,Mobile,7,593,24,4,Purchase,0.05,0
10,S00010,56,Mobile,7,34,26,9,Purchase,0.05,0
11,S00011,56,Mobile,3,560,4,6,Sign Up,0.20923216941616596,0
12,S00012,37,Desktop,3,659,26,6,Browse,0.05,0
13,S00013,44,Mobile,4,764,3,6,Product,0.05,0
14,S00014,49,Mobile,1,711,17,0,Home,0.29154074575408095,1
15,S00015,29,Mobile,2,406,17,4,Sign Up,0.1722878146039733,0
16,S00016,40,Mobile,1,404,19,1,Home,0.204791257556159,0
17,S00017,43,Tablet,7,855,23,7,Purchase,0.05,1
18,S00018,37,Mobile,4,422,26,2,Browse,0.05,0
19,S00019,57,Mobile,2,891,1,8,Home,0.1764313773895736,0
20,S00020,19,Tablet,6,671,5,4,Checkout,0.05,0
21,S00021,50,Desktop,3,644,8,3,Browse,0.16238664095931774,0
22,S00022,33,Tablet,4,180,4,0,Product,0.1456516086112609,0
23,S00023,20,Desktop,1,707,12,2,Home,0.10846438713935104,0
24,S00024,55,Mobile,6,795,27,1,Add to Cart,0.05,0
25,S00025,21,Mobile,1,531,17,4,Home,0.2115278709092693,0
26,S00026,46,Mobile,5,626,3,0,Browse,0.18162602413380255,0
27,S00027,35,Desktop,7,585,26,2,Purchase,0.05,0
28,S00028,56,Mobile,7,557,3,1,Purchase,0.10131276210945875,0
29,S00029,33,Mobile,3,490,15,1,Browse,0.16332910863683045,0
30,S00030,39,Desktop,6,324,20,9,Checkout,0.05,0
31,S00031,22,Mobile,6,896,20,2,Add to Cart,0.05,0
32,S00032,43,Mobile,5,849,23,8,Add to Cart,0.05,0
33,S00033,42,Desktop,5,291,29,6,Product,0.05,0
34,S00034,46,Mobile,5,66,17,3,Add to Cart,0.12841763457843502,0
35,S00035,47,Desktop,2,541,22,4,Sign Up,0.11899508889557411,0
36,S00036,21,Desktop,7,277,17,3,Purchase,0.058924822543332166,0
37,S00037,50,Desktop,3,575,29,1,Browse,0.1821669082915503,0
38,S00038,27,Mobile,2,134,9,6,Home,0.11160205102420241,0
39,S00039,28,Desktop,4,748,21,8,Product,0.08166562475140023,0
40,S00040,56,Desktop,7,209,5,0,Purchase,0.1558868341621179,0
41,S00041,30,Desktop,1,631,12,8,Home,0.10244675274721489,0
42,S00042,48,Tablet,3,525,15,4,Browse,0.19497188356504724,0
43,S00043,38,Desktop,7,163,25,6,Purchase,0.05,0
44,S00044,27,Desktop,1,272,6,6,Home,0.22348913266776058,0
45,S00045,57,Mobile,2,814,26,1,Home,0.05,0
46,S00046,24,Tablet,4,823,6,2,Product,0.05,0
47,S00047,56,Mobile,5,672,18,9,Add to Cart,0.05,0
48,S00048,42,Desktop,6,136,6,9,Checkout,0.08552574730380774,0
49,S00049,54,Mobile,3,551,25,1,Browse,0.05,0
50,S00050,28,Mobile,6,427,28,4,Checkout,0.0680163965800665,0
51,S00051,58,Mobile,3,521,17,8,Browse,0.05,0
52,S00052,23,Tablet,5,834,25,1,Product,0.05,0
